datetime,Value
2018-04-22 4:00:00,5.0
2018-04-22 5:00:00,5.0
2018-04-22 6:00:00,5.0
2018-04-22 7:00:00,5.0
2018-04-22 8:00:00,5.0
2018-04-22 9:00:00,5.0
2018-04-22 10:00:00,5.0
2018-04-22 11:00:00,5.0
2018-04-22 12:00:00,5.0
2018-04-22 13:00:00,5.0
2018-04-22 14:00:00,5.0
2018-04-22 15:00:00,3.0
2018-04-22 16:00:00,2.0
2018-04-22 17:00:00,1.9
2018-04-22 18:00:00,1.8
2018-04-22 19:00:00,1.6
2018-04-22 20:00:00,1.0
2018-04-22 21:00:00,0.800
2018-04-22 22:00:00,0.600
2018-04-22 23:00:00,0.500
2018-04-23 0:00:00,0.400
2018-04-23 1:00:00,0.360
2018-04-23 2:00:00,0.320
2018-04-23 3:00:00,0.280
2018-04-23 4:00:00,0.270
2018-04-23 5:00:00,0.250
2018-04-23 6:00:00,0.250
2018-04-23 7:00:00,0.240
2018-04-23 8:00:00,0.230
2018-04-23 9:00:00,0.220
2018-04-23 10:00:00,0.210
2018-04-23 11:00:00,0.200
2018-04-23 12:00:00,0.190
2018-04-23 13:00:00,0.180
2018-04-23 14:00:00,0.175
2018-04-23 15:00:00,0.170
2018-04-23 16:00:00,0.150
2018-04-23 17:00:00,0.145
2018-04-23 18:00:00,0.140
2018-04-23 19:00:00,0.120
2018-04-23 20:00:00,0.115
2018-04-23 21:00:00,0.110
2018-04-23 22:00:00,0.105
2018-04-23 23:00:00,0.100
2018-04-24 0:00:00,0.095
2018-04-24 1:00:00,0.090
2018-04-24 2:00:00,0.080
2018-04-24 3:00:00,0.070
2018-04-24 4:00:00,0.069
2018-04-24 5:00:00,0.068
2018-04-24 6:00:00,0.060
2018-04-24 7:00:00,0.050
2018-04-24 8:00:00,0.050
2018-04-24 9:00:00,0.050
2018-04-24 10:00:00,0.050
2018-04-24 11:00:00,0.050
2018-04-24 12:00:00,0.050
2018-04-24 13:00:00,0.050
2018-04-24 14:00:00,0.050
2018-04-24 15:00:00,0.050
2018-04-24 16:00:00,0.050
2018-04-24 17:00:00,0.050
2018-04-24 18:00:00,0.050
2018-04-24 19:00:00,0.050
2018-04-24 20:00:00,0.050
2018-04-24 21:00:00,0.049
2018-04-24 22:00:00,0.049
2018-04-24 23:00:00,0.049
2018-04-25 0:00:00,0.049
2018-04-25 1:00:00,0.049
2018-04-25 2:00:00,0.048
2018-04-25 3:00:00,0.048
2018-04-25 4:00:00,0.048
2018-04-25 5:00:00,0.048
2018-04-25 6:00:00,0.048
2018-04-25 7:00:00,0.048
2018-04-25 8:00:00,0.048
2018-04-25 9:00:00,0.048
2018-04-25 10:00:00,0.048
2018-04-25 11:00:00,0.048
2018-04-25 12:00:00,0.048
2018-04-25 13:00:00,0.048
2018-04-25 14:00:00,0.048
2018-04-25 15:00:00,0.048
2018-04-25 16:00:00,0.048
2018-04-25 17:00:00,0.048
2018-04-25 18:00:00,0.048
2018-04-25 19:00:00,0.048
2018-04-25 20:00:00,0.400
2018-04-25 21:00:00,0.380
2018-04-25 22:00:00,0.360
2018-04-25 23:00:00,0.340
2018-04-26 0:00:00,0.320
2018-04-26 1:00:00,0.310
2018-04-26 2:00:00,0.300
2018-04-26 3:00:00,0.290
2018-04-26 4:00:00,0.285
2018-04-26 5:00:00,0.280
2018-04-26 6:00:00,0.280
2018-04-26 7:00:00,0.280
2018-04-26 8:00:00,0.280
2018-04-26 9:00:00,0.280
2018-04-26 10:00:00,0.280
2018-04-26 11:00:00,0.280
2018-04-26 12:00:00,0.280
2018-04-26 13:00:00,0.050
2018-04-26 14:00:00,0.049
2018-04-26 15:00:00,0.049
2018-04-26 16:00:00,0.049
2018-04-26 17:00:00,0.045
2018-04-26 18:00:00,0.039
2018-04-26 19:00:00,0.038
2018-04-26 20:00:00,0.038
2018-04-26 21:00:00,0.038
2018-04-26 22:00:00,0.038
2018-04-26 23:00:00,0.038
2018-04-27 0:00:00,0.038
2018-04-27 1:00:00,0.037
2018-04-27 2:00:00,0.037
2018-04-27 3:00:00,0.037
2018-04-27 4:00:00,0.037
2018-04-27 5:00:00,0.037
2018-04-27 6:00:00,0.037
2018-04-27 7:00:00,0.037
2018-04-27 8:00:00,0.037
2018-04-27 9:00:00,0.037
2018-04-27 10:00:00,0.037
2018-04-27 11:00:00,0.037
2018-04-27 12:00:00,0.037
2018-04-27 13:00:00,0.037
2018-04-27 14:00:00,0.037
2018-04-27 15:00:00,0.037
2018-04-27 16:00:00,0.037
2018-04-27 17:00:00,0.037
2018-04-27 18:00:00,0.037
2018-04-27 19:00:00,0.037
